country_name,country_text_id,COWcode,year,v2x_partipdem,pred,residual
Uzbekistan,UZB,704,2019,0.056,0.2995169402960606,-0.24351694029606058
Angola,AGO,540,2019,0.096,0.30631414854210437,-0.21031414854210437
United Arab Emirates,ARE,696,2019,0.027,0.22734930609775603,-0.20034930609775603
Tajikistan,TJK,702,2019,0.053,0.25303917337479476,-0.20003917337479477
Saudi Arabia,SAU,670,2019,0.022,0.21535650582465513,-0.19335650582465513
China,CHN,710,2019,0.037,0.2295756809670785,-0.1925756809670785
Morocco,MAR,600,2019,0.161,0.35230747316344263,-0.19130747316344263
Venezuela,VEN,101,2019,0.157,0.3480134135413531,-0.19101341354135312
Kazakhstan,KAZ,705,2019,0.074,0.2561662820771454,-0.1821662820771454
Bahrain,BHR,692,2019,0.044,0.2224289569365684,-0.1784289569365684
Ethiopia,ETH,530,2019,0.164,0.339115443242591,-0.175115443242591
Azerbaijan,AZE,373,2019,0.06,0.23485882200618485,-0.17485882200618486
Chad,TCD,483,2019,0.128,0.30201237095383293,-0.17401237095383293
Egypt,EGY,651,2019,0.074,0.23599776787183194,-0.16199776787183195
Iran,IRN,630,2019,0.044,0.2036008716316614,-0.15960087163166142
Thailand,THA,800,2019,0.109,0.26839490288268103,-0.15939490288268104
Qatar,QAT,694,2019,0.022,0.1793323044388958,-0.15733230443889581
Sudan,SDN,625,2019,0.091,0.23790963280397823,-0.14690963280397823
Cambodia,KHM,811,2019,0.073,0.2156493623384803,-0.1426493623384803
Bangladesh,BGD,771,2019,0.107,0.24957200073274788,-0.1425720007327479
Eswatini,SWZ,572,2019,0.115,0.25560063680028056,-0.14060063680028057
Belarus,BLR,370,2019,0.098,0.23599776787183194,-0.13799776787183193
Cameroon,CMR,471,2019,0.106,0.24246606593690273,-0.13646606593690275
Republic of the Congo,COG,484,2019,0.187,0.32089894337972047,-0.13389894337972047
Afghanistan,AFG,700,2019,0.119,0.2506267486395456,-0.1316267486395456
Algeria,DZA,615,2019,0.103,0.23347538417582955,-0.13047538417582955
North Korea,PRK,731,2019,0.043,0.17204386298230556,-0.12904386298230558
Singapore,SGP,830,2019,0.113,0.23466159129123593,-0.12166159129123592
Comoros,COM,581,2019,0.209,0.3295413035082466,-0.12054130350824663
Oman,OMN,698,2019,0.126,0.24193521498316192,-0.11593521498316192
Jordan,JOR,663,2019,0.12,0.23470082429523567,-0.11470082429523568
Laos,LAO,812,2019,0.102,0.21280689505865585,-0.11080689505865586
Equatorial Guinea,GNQ,411,2019,0.052,0.15366621561872112,-0.10166621561872113
Bolivia,BOL,145,2019,0.341,0.4362753521770322,-0.0952753521770322
Zimbabwe,ZWE,552,2019,0.239,0.33252324743046763,-0.09352324743046764
Mozambique,MOZ,541,2019,0.239,0.3250653436382763,-0.08606534363827634
Fiji,FJI,950,2019,0.181,0.26562553359996127,-0.08462553359996128
Democratic Republic of the Congo,COD,490,2019,0.213,0.29698956779008157,-0.08398956779008157
Russia,RUS,365,2019,0.151,0.2331384733144127,-0.08213847331441271
Central African Republic,CAF,482,2019,0.156,0.23599776787183194,-0.07999776787183194
Kyrgyzstan,KGZ,703,2019,0.255,0.32732910648589,-0.07232910648588997
Djibouti,DJI,522,2019,0.134,0.2018125333477008,-0.06781253334770079
Libya,LBY,620,2019,0.162,0.22368045760900954,-0.06168045760900953
Papua New Guinea,PNG,910,2019,0.278,0.33949750362348163,-0.06149750362348161
Zambia,ZMB,551,2019,0.256,0.3145567530305381,-0.05855675303053809
Haiti,HTI,41,2019,0.244,0.30080260013576976,-0.056802600135769765
Uganda,UGA,500,2019,0.207,0.2582928338472792,-0.0512928338472792
Seychelles,SYC,591,2019,0.267,0.31809167403997674,-0.05109167403997672
Rwanda,RWA,517,2019,0.185,0.23599776787183194,-0.05099776787183194
Türkiye,TUR,640,2019,0.192,0.23599776787183194,-0.04399776787183193
Montenegro,MNE,341,2019,0.316,0.3587273189770485,-0.04272731897704851
Benin,BEN,434,2019,0.277,0.3179801203216015,-0.040980120321601476
Colombia,COL,100,2019,0.46,0.5007145717180019,-0.04071457171800191
Vietnam,VNM,816,2019,0.187,0.22059098889125492,-0.03359098889125492
Maldives,MDV,781,2019,0.322,0.3387056551379853,-0.016705655137985276
Albania,ALB,339,2019,0.312,0.3275058031844107,-0.015505803184410694
Honduras,HND,91,2019,0.25,0.2602592846018705,-0.010259284601870478
Guinea,GIN,438,2019,0.228,0.23599776787183194,-0.007997767871831929
